key,kind,insertion_type,lo_idac,lut,pa_channel,median_series,min_freq_ghz,min_temp_c,min_insertion,min_median,min_test_number,max_freq_ghz,max_temp_c,max_insertion,max_median,max_test_number
"('TXPA', 'BE', 'TX1')",TXPA,BE,,255.0,TX1,correlated,81,135,B1,12.4709280243342,53283,76,25,B2,15.036433398725599,55251
"('TXPA', 'BE', 'TX2')",TXPA,BE,,255.0,TX2,correlated,81,135,B1,12.137066724334199,53284,76,25,B2,14.7696822987256,55252
"('TXPA', 'BE', 'TX3')",TXPA,BE,,255.0,TX3,correlated,81,135,B1,12.1514954243342,53285,77,25,B2,14.9623401413273,54253
"('TXPA', 'BE', 'TX4')",TXPA,BE,,255.0,TX4,correlated,81,135,B1,11.6908685243342,53286,76,25,B2,14.748584098725601,55254
"('TXPA', 'BE', 'TX5')",TXPA,BE,,255.0,TX5,correlated,81,135,B1,12.3141481243342,53287,77,25,B2,15.221563941327302,54255
"('TXPA', 'BE', 'TX6')",TXPA,BE,,255.0,TX6,correlated,81,135,B1,12.0921989243342,53288,77,25,B2,15.074821041327299,54256
"('TXPA', 'BE', 'TX7')",TXPA,BE,,255.0,TX7,correlated,81,135,B1,12.3316094243342,53289,77,25,B2,15.0145352413273,54257
"('TXPA', 'BE', 'TX8')",TXPA,BE,,255.0,TX8,correlated,81,135,B1,12.314572124334198,53290,76,25,B2,15.2397310987256,55258
"('TXPA', 'FE', 'TX1')",TXPA,FE,,255.0,TX1,correlated,81,135,S1,12.439477924334199,53283,76,-40,S2,14.8991113987256,55251
"('TXPA', 'FE', 'TX2')",TXPA,FE,,255.0,TX2,correlated,81,135,S1,12.2523957243342,53284,76,25,S3,14.8150200987256,55252
"('TXPA', 'FE', 'TX3')",TXPA,FE,,255.0,TX3,correlated,81,135,S1,12.1570529243342,53285,76,-40,S2,14.918676998725601,55253
"('TXPA', 'FE', 'TX4')",TXPA,FE,,255.0,TX4,correlated,81,135,S1,11.711774124334198,53286,76,-40,S2,14.930270798725598,55254
"('TXPA', 'FE', 'TX5')",TXPA,FE,,255.0,TX5,correlated,81,135,S1,12.301715724334201,53287,76,-40,S2,15.1123814987256,55255
"('TXPA', 'FE', 'TX6')",TXPA,FE,,255.0,TX6,correlated,81,135,S1,12.142347124334199,53288,76,-40,S2,14.9947435987256,55256
"('TXPA', 'FE', 'TX7')",TXPA,FE,,255.0,TX7,correlated,81,135,S1,12.3265643243342,53289,76,-40,S2,15.0075079987256,55257
"('TXPA', 'FE', 'TX8')",TXPA,FE,,255.0,TX8,correlated,81,135,S1,12.372936124334199,53290,76,-40,S2,15.0771893987256,55258
"('TXLO', 112)",TXLO,FE,112.0,,,correlated,76,-40,S2,12.0105190042824,57291,81,135,S1,13.5778398477617,57051
